epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.9193,0.83902,0.68364,0.84366,0.84039,0.93492,0.90753,0.76148,0.57917,0.58015,0.80763,8.888e-05,8.888e-05,8.888e-05
2,167.706,0.84785,0.65906,0.83315,0.79317,0.83506,0.90141,0.69223,0.81722,0.6674,0.839,0.000188408,0.000188408,0.000188408
3,249.33,0.96099,0.7337,0.85899,0.76833,0.90696,0.89299,0.69685,0.73569,0.64242,0.83164,0.000287448,0.000287448,0.000287448
4,330.921,0.873,0.68795,0.83601,0.82686,0.67884,0.80662,0.54479,0.9555,0.75597,0.87086,0.000385998,0.000385998,0.000385998
5,412.607,0.88598,0.73131,0.84335,0.81425,0.67022,0.82653,0.59676,0.99147,0.77641,0.87662,0.00048406,0.00048406,0.00048406
6,494.16,0.87712,0.71504,0.83558,0.82864,0.71119,0.79937,0.59812,0.84266,0.7743,0.84771,0.000581633,0.000581633,0.000581633
7,575.81,0.8618,0.67173,0.84514,0.86526,0.6981,0.75507,0.50965,0.9613,0.9064,0.87217,0.000678717,0.000678717,0.000678717
8,657.135,0.85075,0.65903,0.83436,0.89432,0.59897,0.7526,0.46995,1.02344,1.07565,0.88814,0.000775313,0.000775313,0.000775313
9,738.318,0.86423,0.67383,0.83984,0.81507,0.71283,0.76424,0.51586,0.90351,1.01735,0.89162,0.000871419,0.000871419,0.000871419
10,819.645,0.91541,0.68818,0.85301,0.77994,0.5,0.62616,0.33806,1.27858,1.03566,0.96287,0.000967037,0.000967037,0.000967037
11,900.825,0.92581,0.6723,0.8502,0.87495,0.51251,0.59951,0.41378,0.97819,0.92021,0.90989,0.00106217,0.00106217,0.00106217
12,981.629,0.97552,0.73081,0.84909,0.78152,0.52568,0.6162,0.37845,1.01132,0.96956,0.91584,0.00108113,0.00108113,0.00108113
13,1062.18,0.85117,0.65081,0.84086,0.89469,0.56415,0.60107,0.44969,0.89714,1.08215,0.87393,0.00107841,0.00107841,0.00107841
14,1142.53,0.90742,0.63822,0.84526,0.91189,0.52968,0.58332,0.42848,1.01024,1.26845,0.89062,0.00107569,0.00107569,0.00107569
15,1223.11,0.87868,0.63207,0.84714,0.87084,0.53941,0.60337,0.3904,1.09191,1.16474,0.89682,0.00107298,0.00107298,0.00107298
16,1303.77,0.88539,0.64124,0.84371,0.83756,0.59112,0.63486,0.44726,0.88846,1.03287,0.87909,0.00107026,0.00107026,0.00107026
17,1384.23,0.88091,0.63745,0.84843,0.82815,0.58847,0.64733,0.4583,0.95922,1.02578,0.87572,0.00106755,0.00106755,0.00106755
18,1464.72,0.84686,0.65501,0.8421,0.84252,0.56279,0.6406,0.46129,0.9304,1.17333,0.87734,0.00106483,0.00106483,0.00106483
19,1545.28,0.84319,0.61501,0.83856,0.73854,0.55651,0.62926,0.4472,0.93822,1.02998,0.88256,0.00106212,0.00106212,0.00106212
20,1625.86,0.83744,0.63436,0.84047,0.8401,0.63277,0.74218,0.53048,0.90006,0.84107,0.85636,0.0010594,0.0010594,0.0010594
21,1706.31,0.81575,0.61008,0.85424,0.82348,0.65515,0.70699,0.49305,0.89409,0.82295,0.8629,0.00105668,0.00105668,0.00105668
22,1786.68,0.79317,0.5703,0.83329,0.85568,0.60551,0.68472,0.47982,0.9319,0.8279,0.88064,0.00105397,0.00105397,0.00105397
23,1867.02,0.82527,0.59511,0.85211,0.85617,0.5822,0.71233,0.52144,0.88469,0.85056,0.87781,0.00105125,0.00105125,0.00105125
24,1947.97,0.81843,0.60661,0.83664,0.74564,0.60262,0.62144,0.44267,0.91944,0.97633,0.89071,0.00104854,0.00104854,0.00104854
25,2028.57,0.83996,0.56142,0.85575,0.73123,0.55537,0.57685,0.36349,1.14014,1.11868,0.92009,0.00104582,0.00104582,0.00104582
